scenario_id,prefill_size_class,decode_occupancy,slo_regime,offered_load,n_total_jobs,n_prefill,n_decode,step_token_budget,max_active_sequences,prefill_prompt_median,decode_output_median,decode_start_s,slack_prefill_s,decode_margin_s,ttft_slo_s,tbt_slo_s,arrival_shape,seed,stress_control_relationship,token_sources
pd1.psizemedium.occlow.slotbt_tight.loadmoderate.s20260819,medium,low,tbt_tight,moderate,42,30,12,512,512,1542,529,0.5,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slotbt_tight.loadhigh.s20260818,medium,low,tbt_tight,high,57,45,12,512,512,1387,152,0.5,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slotbt_tight.loadhigh.s20260819,medium,low,tbt_tight,high,57,45,12,512,512,1525,576,0.5,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slobalanced.loadmoderate.s20260818,medium,low,balanced,moderate,42,30,12,512,512,1394,183,0.5,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slobalanced.loadmoderate.s20260819,medium,low,balanced,moderate,42,30,12,512,512,1542,529,0.5,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slobalanced.loadhigh.s20260818,medium,low,balanced,high,57,45,12,512,512,1387,152,0.5,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slobalanced.loadhigh.s20260819,medium,low,balanced,high,57,45,12,512,512,1525,576,0.5,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occmedium.slottft_tight.loadmoderate.s20260818,medium,medium,ttft_tight,moderate,80,30,50,512,512,1394,919,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occmedium.slottft_tight.loadmoderate.s20260819,medium,medium,ttft_tight,moderate,80,30,50,512,512,1542,1278,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260819,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occmedium.slottft_tight.loadhigh.s20260818,medium,medium,ttft_tight,high,95,45,50,512,512,1387,1043,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
